Results of experiments stored in: ./experiments/CartPole-v1_3
Episode: 1, exploration: 1.0, score: 20.0
Scores: (min: 20.0, avg: 20.0, max: 20.0)

Episode: 2, exploration: 0.9977522486879922, score: 20.0
Scores: (min: 20.0, avg: 20.0, max: 20.0)

Episode: 3, exploration: 0.995011857206411, score: 11.0
Scores: (min: 11.0, avg: 17.0, max: 20.0)

Episode: 4, exploration: 0.992775317998912, score: 9.0
Scores: (min: 9.0, avg: 15.0, max: 20.0)

Episode: 5, exploration: 0.9878232129507829, score: 20.0
Scores: (min: 9.0, avg: 16.0, max: 20.0)

Episode: 6, exploration: 0.9836333503066086, score: 17.0
Scores: (min: 9.0, avg: 16.166666666666668, max: 20.0)

Episode: 7, exploration: 0.9762827804169426, score: 30.0
Scores: (min: 9.0, avg: 18.142857142857142, max: 30.0)

Episode: 8, exploration: 0.9728713377450043, score: 14.0
Scores: (min: 9.0, avg: 17.625, max: 30.0)

Episode: 9, exploration: 0.9615055833365661, score: 47.0
Scores: (min: 9.0, avg: 20.88888888888889, max: 47.0)

Episode: 10, exploration: 0.958864745680191, score: 11.0
Scores: (min: 9.0, avg: 19.9, max: 47.0)

Episode: 11, exploration: 0.9507479260566456, score: 34.0
Scores: (min: 9.0, avg: 21.181818181818183, max: 47.0)

Episode: 12, exploration: 0.9476626259471007, score: 13.0
Scores: (min: 9.0, avg: 20.5, max: 47.0)

Episode: 13, exploration: 0.938701344286237, score: 38.0
Scores: (min: 9.0, avg: 21.846153846153847, max: 47.0)

Episode: 14, exploration: 0.9291276079694071, score: 41.0
Scores: (min: 9.0, avg: 23.214285714285715, max: 47.0)

Episode: 15, exploration: 0.9235688404276956, score: 24.0
Scores: (min: 9.0, avg: 23.266666666666666, max: 47.0)

Episode: 16, exploration: 0.9168963492494921, score: 29.0
Scores: (min: 9.0, avg: 23.625, max: 47.0)

Episode: 17, exploration: 0.9120946586476826, score: 21.0
Scores: (min: 9.0, avg: 23.470588235294116, max: 47.0)

Episode: 18, exploration: 0.9084531127486842, score: 16.0
Scores: (min: 9.0, avg: 23.055555555555557, max: 47.0)

Episode: 19, exploration: 0.9025665836167572, score: 26.0
Scores: (min: 9.0, avg: 23.210526315789473, max: 47.0)

Episode: 20, exploration: 0.8980644526169551, score: 20.0
Scores: (min: 9.0, avg: 23.05, max: 47.0)

Episode: 21, exploration: 0.8955978601546494, score: 11.0
Scores: (min: 9.0, avg: 22.476190476190474, max: 47.0)

Episode: 22, exploration: 0.8882386563309901, score: 33.0
Scores: (min: 9.0, avg: 22.954545454545453, max: 47.0)

Episode: 23, exploration: 0.8846923557298118, score: 16.0
Scores: (min: 9.0, avg: 22.652173913043477, max: 47.0)

Episode: 24, exploration: 0.8778616393172712, score: 31.0
Scores: (min: 9.0, avg: 23.0, max: 47.0)

Episode: 25, exploration: 0.8719552912806848, score: 27.0
Scores: (min: 9.0, avg: 23.16, max: 47.0)

Episode: 26, exploration: 0.8639258943391006, score: 37.0
Scores: (min: 9.0, avg: 23.692307692307693, max: 47.0)

Episode: 27, exploration: 0.8598314664816787, score: 19.0
Scores: (min: 9.0, avg: 23.51851851851852, max: 47.0)

Episode: 28, exploration: 0.8489368541603001, score: 51.0
Scores: (min: 9.0, avg: 24.5, max: 51.0)

Episode: 29, exploration: 0.8470286552325496, score: 9.0
Scores: (min: 9.0, avg: 23.96551724137931, max: 51.0)

Episode: 30, exploration: 0.837970738445115, score: 43.0
Scores: (min: 9.0, avg: 24.6, max: 51.0)

Episode: 31, exploration: 0.8354602799801715, score: 12.0
Scores: (min: 9.0, avg: 24.193548387096776, max: 51.0)

Episode: 32, exploration: 0.830254288127432, score: 25.0
Scores: (min: 9.0, avg: 24.21875, max: 51.0)

Episode: 33, exploration: 0.8252870580627737, score: 24.0
Scores: (min: 9.0, avg: 24.21212121212121, max: 51.0)

Episode: 34, exploration: 0.8209651157693628, score: 21.0
Scores: (min: 9.0, avg: 24.11764705882353, max: 51.0)

Episode: 35, exploration: 0.8166658070372141, score: 21.0
Scores: (min: 9.0, avg: 24.02857142857143, max: 51.0)

Episode: 36, exploration: 0.8071249534459586, score: 47.0
Scores: (min: 9.0, avg: 24.666666666666668, max: 51.0)

Episode: 37, exploration: 0.8032997238568655, score: 19.0
Scores: (min: 9.0, avg: 24.513513513513512, max: 51.0)

Episode: 38, exploration: 0.7986934304205224, score: 23.0
Scores: (min: 9.0, avg: 24.473684210526315, max: 51.0)

Episode: 39, exploration: 0.789954860578033, score: 44.0
Scores: (min: 9.0, avg: 24.974358974358974, max: 51.0)

Episode: 40, exploration: 0.7869977083177626, score: 15.0
Scores: (min: 9.0, avg: 24.725, max: 51.0)

Episode: 41, exploration: 0.7660304806567778, score: 108.0
Scores: (min: 9.0, avg: 26.75609756097561, max: 108.0)

Episode: 42, exploration: 0.7631628879874287, score: 15.0
Scores: (min: 9.0, avg: 26.476190476190474, max: 108.0)

Episode: 43, exploration: 0.7441319232604865, score: 101.0
Scores: (min: 9.0, avg: 28.209302325581394, max: 108.0)

Episode: 44, exploration: 0.7337853777951714, score: 56.0
Scores: (min: 9.0, avg: 28.84090909090909, max: 108.0)

Episode: 45, exploration: 0.7266648492500672, score: 39.0
Scores: (min: 9.0, avg: 29.066666666666666, max: 108.0)

Episode: 46, exploration: 0.7237636334862821, score: 16.0
Scores: (min: 9.0, avg: 28.782608695652176, max: 108.0)

Episode: 47, exploration: 0.7131651510111194, score: 59.0
Scores: (min: 9.0, avg: 29.425531914893618, max: 108.0)

Episode: 48, exploration: 0.7076587974518136, score: 31.0
Scores: (min: 9.0, avg: 29.458333333333332, max: 108.0)

Episode: 49, exploration: 0.6860552592894475, score: 124.0
Scores: (min: 9.0, avg: 31.387755102040817, max: 124.0)

Episode: 50, exploration: 0.6738152253798753, score: 72.0
Scores: (min: 9.0, avg: 32.2, max: 124.0)

Episode: 51, exploration: 0.6704541388191863, score: 20.0
Scores: (min: 9.0, avg: 31.96078431372549, max: 124.0)

Episode: 52, exploration: 0.6677773448082409, score: 16.0
Scores: (min: 9.0, avg: 31.653846153846153, max: 124.0)

Episode: 53, exploration: 0.6538985233740583, score: 84.0
Scores: (min: 9.0, avg: 32.64150943396226, max: 124.0)

Episode: 54, exploration: 0.6441620346583125, score: 60.0
Scores: (min: 9.0, avg: 33.148148148148145, max: 124.0)

Episode: 55, exploration: 0.6383898685101589, score: 36.0
Scores: (min: 9.0, avg: 33.2, max: 124.0)

Episode: 56, exploration: 0.6356821311059122, score: 17.0
Scores: (min: 9.0, avg: 32.910714285714285, max: 124.0)

Episode: 57, exploration: 0.6255909007006728, score: 64.0
Scores: (min: 9.0, avg: 33.45614035087719, max: 124.0)

Episode: 58, exploration: 0.6193653928974104, score: 40.0
Scores: (min: 9.0, avg: 33.56896551724138, max: 124.0)

Episode: 59, exploration: 0.6159678104385373, score: 22.0
Scores: (min: 9.0, avg: 33.3728813559322, max: 124.0)

Episode: 60, exploration: 0.6077070976516807, score: 54.0
Scores: (min: 9.0, avg: 33.71666666666667, max: 124.0)

Episode: 61, exploration: 0.6051295015457497, score: 17.0
Scores: (min: 9.0, avg: 33.442622950819676, max: 124.0)

Episode: 62, exploration: 0.5965664920901095, score: 57.0
Scores: (min: 9.0, avg: 33.82258064516129, max: 124.0)

Episode: 63, exploration: 0.5854837107625204, score: 75.0
Scores: (min: 9.0, avg: 34.476190476190474, max: 124.0)

Episode: 64, exploration: 0.5741759736697133, score: 78.0
Scores: (min: 9.0, avg: 35.15625, max: 124.0)

Episode: 65, exploration: 0.5643551585559844, score: 69.0
Scores: (min: 9.0, avg: 35.676923076923075, max: 124.0)

Episode: 66, exploration: 0.559298120782126, score: 36.0
Scores: (min: 9.0, avg: 35.68181818181818, max: 124.0)

Episode: 67, exploration: 0.5538707869120801, score: 39.0
Scores: (min: 9.0, avg: 35.73134328358209, max: 124.0)

Episode: 68, exploration: 0.5458966161580352, score: 58.0
Scores: (min: 9.0, avg: 36.05882352941177, max: 124.0)

Episode: 69, exploration: 0.5396539886269702, score: 46.0
Scores: (min: 9.0, avg: 36.20289855072464, max: 124.0)

Episode: 70, exploration: 0.5305562831854055, score: 68.0
Scores: (min: 9.0, avg: 36.65714285714286, max: 124.0)

Episode: 71, exploration: 0.5256706576950317, score: 37.0
Scores: (min: 9.0, avg: 36.66197183098591, max: 124.0)

Episode: 72, exploration: 0.5204394965995598, score: 40.0
Scores: (min: 9.0, avg: 36.708333333333336, max: 124.0)

Episode: 73, exploration: 0.4969144399019394, score: 185.0
Scores: (min: 9.0, avg: 38.73972602739726, max: 185.0)

Episode: 74, exploration: 0.47802499102522816, score: 155.0
Scores: (min: 9.0, avg: 40.310810810810814, max: 185.0)

Episode: 75, exploration: 0.4716142223310198, score: 54.0
Scores: (min: 9.0, avg: 40.49333333333333, max: 185.0)

Episode: 76, exploration: 0.4513106138312617, score: 176.0
Scores: (min: 9.0, avg: 42.276315789473685, max: 185.0)

Episode: 77, exploration: 0.4316651886483216, score: 178.0
Scores: (min: 9.0, avg: 44.03896103896104, max: 185.0)

Episode: 78, exploration: 0.3997705134639621, score: 307.0
Scores: (min: 9.0, avg: 47.41025641025641, max: 307.0)

Episode: 79, exploration: 0.3602786154635865, score: 416.0
Scores: (min: 9.0, avg: 52.075949367088604, max: 416.0)

Episode: 80, exploration: 0.34875637090107636, score: 130.0
Scores: (min: 9.0, avg: 53.05, max: 416.0)

Episode: 81, exploration: 0.30777160730626313, score: 500.0
Scores: (min: 9.0, avg: 58.5679012345679, max: 500.0)

Episode: 82, exploration: 0.2813492422358225, score: 359.0
Scores: (min: 9.0, avg: 62.23170731707317, max: 500.0)

Episode: 83, exploration: 0.25463579815848486, score: 399.0
Scores: (min: 9.0, avg: 66.28915662650603, max: 500.0)

Episode: 84, exploration: 0.2247117914275447, score: 500.0
Scores: (min: 9.0, avg: 71.45238095238095, max: 500.0)

Episode: 85, exploration: 0.2061920265553627, score: 344.0
Scores: (min: 9.0, avg: 74.65882352941176, max: 500.0)

Episode: 86, exploration: 0.1972658615965054, score: 177.0
Scores: (min: 9.0, avg: 75.84883720930233, max: 500.0)

Episode: 87, exploration: 0.18177908837911513, score: 327.0
Scores: (min: 9.0, avg: 78.73563218390805, max: 500.0)

Episode: 88, exploration: 0.16489022676769122, score: 390.0
Scores: (min: 9.0, avg: 82.27272727272727, max: 500.0)

Episode: 89, exploration: 0.15, score: 420.0
Scores: (min: 9.0, avg: 86.06741573033707, max: 500.0)

Episode: 90, exploration: 0.15, score: 500.0
Scores: (min: 9.0, avg: 90.66666666666667, max: 500.0)

Episode: 91, exploration: 0.15, score: 241.0
Scores: (min: 9.0, avg: 92.31868131868131, max: 500.0)

Episode: 92, exploration: 0.15, score: 33.0
Scores: (min: 9.0, avg: 91.67391304347827, max: 500.0)

Episode: 93, exploration: 0.15, score: 313.0
Scores: (min: 9.0, avg: 94.05376344086021, max: 500.0)

Episode: 94, exploration: 0.15, score: 282.0
Scores: (min: 9.0, avg: 96.05319148936171, max: 500.0)

Episode: 95, exploration: 0.15, score: 256.0
Scores: (min: 9.0, avg: 97.73684210526316, max: 500.0)

Episode: 96, exploration: 0.15, score: 361.0
Scores: (min: 9.0, avg: 100.47916666666667, max: 500.0)

Episode: 97, exploration: 0.15, score: 309.0
Scores: (min: 9.0, avg: 102.62886597938144, max: 500.0)

Episode: 98, exploration: 0.15, score: 255.0
Scores: (min: 9.0, avg: 104.18367346938776, max: 500.0)

Episode: 99, exploration: 0.15, score: 321.0
Scores: (min: 9.0, avg: 106.37373737373737, max: 500.0)

Episode: 100, exploration: 0.15, score: 283.0
Scores: (min: 9.0, avg: 108.14, max: 500.0)

Episode: 101, exploration: 0.15, score: 149.0
Scores: (min: 9.0, avg: 109.43, max: 500.0)

Episode: 102, exploration: 0.15, score: 292.0
Scores: (min: 9.0, avg: 112.15, max: 500.0)

Episode: 103, exploration: 0.15, score: 268.0
Scores: (min: 9.0, avg: 114.72, max: 500.0)

Episode: 104, exploration: 0.15, score: 500.0
Scores: (min: 9.0, avg: 119.63, max: 500.0)

Episode: 105, exploration: 0.15, score: 483.0
Scores: (min: 9.0, avg: 124.26, max: 500.0)

Episode: 106, exploration: 0.15, score: 250.0
Scores: (min: 9.0, avg: 126.59, max: 500.0)

Episode: 107, exploration: 0.15, score: 361.0
Scores: (min: 9.0, avg: 129.9, max: 500.0)

Episode: 108, exploration: 0.15, score: 425.0
Scores: (min: 9.0, avg: 134.01, max: 500.0)

Episode: 109, exploration: 0.15, score: 341.0
Scores: (min: 9.0, avg: 136.95, max: 500.0)

Episode: 110, exploration: 0.15, score: 316.0
Scores: (min: 9.0, avg: 140.0, max: 500.0)

Episode: 111, exploration: 0.15, score: 296.0
Scores: (min: 9.0, avg: 142.62, max: 500.0)

Episode: 112, exploration: 0.15, score: 67.0
Scores: (min: 9.0, avg: 143.16, max: 500.0)

Episode: 113, exploration: 0.15, score: 310.0
Scores: (min: 9.0, avg: 145.88, max: 500.0)

Episode: 114, exploration: 0.15, score: 105.0
Scores: (min: 9.0, avg: 146.52, max: 500.0)

Episode: 115, exploration: 0.15, score: 410.0
Scores: (min: 9.0, avg: 150.38, max: 500.0)

Episode: 116, exploration: 0.15, score: 141.0
Scores: (min: 9.0, avg: 151.5, max: 500.0)

Episode: 117, exploration: 0.15, score: 176.0
Scores: (min: 9.0, avg: 153.05, max: 500.0)

Episode: 118, exploration: 0.15, score: 223.0
Scores: (min: 9.0, avg: 155.12, max: 500.0)

Episode: 119, exploration: 0.15, score: 357.0
Scores: (min: 9.0, avg: 158.43, max: 500.0)

Episode: 120, exploration: 0.15, score: 167.0
Scores: (min: 9.0, avg: 159.9, max: 500.0)

Episode: 121, exploration: 0.15, score: 54.0
Scores: (min: 9.0, avg: 160.33, max: 500.0)

Episode: 122, exploration: 0.15, score: 219.0
Scores: (min: 9.0, avg: 162.19, max: 500.0)

Episode: 123, exploration: 0.15, score: 176.0
Scores: (min: 9.0, avg: 163.79, max: 500.0)

Episode: 124, exploration: 0.15, score: 321.0
Scores: (min: 9.0, avg: 166.69, max: 500.0)

Episode: 125, exploration: 0.15, score: 201.0
Scores: (min: 9.0, avg: 168.43, max: 500.0)

Episode: 126, exploration: 0.15, score: 34.0
Scores: (min: 9.0, avg: 168.4, max: 500.0)

Episode: 127, exploration: 0.15, score: 450.0
Scores: (min: 9.0, avg: 172.71, max: 500.0)

Episode: 128, exploration: 0.15, score: 213.0
Scores: (min: 9.0, avg: 174.33, max: 500.0)

Episode: 129, exploration: 0.15, score: 172.0
Scores: (min: 12.0, avg: 175.96, max: 500.0)

Episode: 130, exploration: 0.15, score: 232.0
Scores: (min: 12.0, avg: 177.85, max: 500.0)

Episode: 131, exploration: 0.15, score: 175.0
Scores: (min: 15.0, avg: 179.48, max: 500.0)

Episode: 132, exploration: 0.15, score: 248.0
Scores: (min: 15.0, avg: 181.71, max: 500.0)

Episode: 133, exploration: 0.15, score: 428.0
Scores: (min: 15.0, avg: 185.75, max: 500.0)

Episode: 134, exploration: 0.15, score: 358.0
Scores: (min: 15.0, avg: 189.12, max: 500.0)

Episode: 135, exploration: 0.15, score: 111.0
Scores: (min: 15.0, avg: 190.02, max: 500.0)

Episode: 136, exploration: 0.15, score: 208.0
Scores: (min: 15.0, avg: 191.63, max: 500.0)

