Results of experiments stored in: ./experiments/CartPole-v1_15

Episode: 1 (908), exploration: 0.9991603023395271, score: 46.0
Scores: (min: 46.0, avg: 46.0, max: 46.0)

Episode: 2 (909), exploration: 0.9988006477926833, score: 9.0
Scores: (min: 9.0, avg: 27.5, max: 46.0)

Episode: 3 (910), exploration: 0.99844112270594, score: 15.0
Scores: (min: 9.0, avg: 23.333333333333332, max: 46.0)

Episode: 4 (911), exploration: 0.997961957225453, score: 14.0
Scores: (min: 9.0, avg: 21.0, max: 46.0)

Episode: 5 (912), exploration: 0.9973633237403958, score: 22.0
Scores: (min: 9.0, avg: 21.2, max: 46.0)

Episode: 6 (913), exploration: 0.9967650493492369, score: 17.0
Scores: (min: 9.0, avg: 20.5, max: 46.0)

Episode: 7 (914), exploration: 0.9960475937805109, score: 25.0
Scores: (min: 9.0, avg: 21.142857142857142, max: 46.0)

Episode: 8 (915), exploration: 0.9948529819003179, score: 39.0
Scores: (min: 9.0, avg: 23.375, max: 46.0)

Episode: 9 (916), exploration: 0.9941369026072147, score: 24.0
Scores: (min: 9.0, avg: 23.444444444444443, max: 46.0)

Episode: 10 (917), exploration: 0.9937790562672724, score: 13.0
Scores: (min: 9.0, avg: 22.4, max: 46.0)

Episode: 11 (918), exploration: 0.9933021281759057, score: 17.0
Scores: (min: 9.0, avg: 21.90909090909091, max: 46.0)

Episode: 12 (919), exploration: 0.9929445823186979, score: 13.0
Scores: (min: 9.0, avg: 21.166666666666668, max: 46.0)

Episode: 13 (920), exploration: 0.9917536920421509, score: 37.0
Scores: (min: 9.0, avg: 22.384615384615383, max: 46.0)

Episode: 14 (921), exploration: 0.9913967035550615, score: 15.0
Scores: (min: 9.0, avg: 21.857142857142858, max: 46.0)

Episode: 15 (922), exploration: 0.991039843568406, score: 10.0
Scores: (min: 9.0, avg: 21.066666666666666, max: 46.0)

Episode: 16 (923), exploration: 0.9905642300624857, score: 15.0
Scores: (min: 9.0, avg: 20.6875, max: 46.0)

Episode: 17 (924), exploration: 0.9897324555959542, score: 31.0
Scores: (min: 9.0, avg: 21.294117647058822, max: 46.0)

Episode: 18 (925), exploration: 0.988782711402948, score: 32.0
Scores: (min: 9.0, avg: 21.88888888888889, max: 46.0)

Episode: 19 (926), exploration: 0.9883081811254667, score: 16.0
Scores: (min: 9.0, avg: 21.57894736842105, max: 46.0)

Episode: 20 (927), exploration: 0.9879524328734671, score: 11.0
Scores: (min: 9.0, avg: 21.05, max: 46.0)

Episode: 21 (928), exploration: 0.9874783010579495, score: 17.0
Scores: (min: 9.0, avg: 20.857142857142858, max: 46.0)

Episode: 22 (929), exploration: 0.9871228515269248, score: 10.0
Scores: (min: 9.0, avg: 20.363636363636363, max: 46.0)

Episode: 23 (930), exploration: 0.9868859562571274, score: 10.0
Scores: (min: 9.0, avg: 19.91304347826087, max: 46.0)

Episode: 24 (931), exploration: 0.9862939667778983, score: 17.0
Scores: (min: 9.0, avg: 19.791666666666668, max: 46.0)

Episode: 25 (932), exploration: 0.9855840481272317, score: 25.0
Scores: (min: 9.0, avg: 20.0, max: 46.0)

Episode: 26 (933), exploration: 0.9852292804454337, score: 14.0
Scores: (min: 9.0, avg: 19.76923076923077, max: 46.0)

Episode: 27 (934), exploration: 0.9838114862690566, score: 45.0
Scores: (min: 9.0, avg: 20.703703703703702, max: 46.0)

Episode: 28 (935), exploration: 0.9834573566329559, score: 12.0
Scores: (min: 9.0, avg: 20.392857142857142, max: 46.0)

Episode: 29 (936), exploration: 0.9829853820656902, score: 18.0
Scores: (min: 9.0, avg: 20.310344827586206, max: 46.0)

Episode: 30 (937), exploration: 0.9825136340054413, score: 17.0
Scores: (min: 9.0, avg: 20.2, max: 46.0)

Episode: 31 (938), exploration: 0.9814530284731952, score: 34.0
Scores: (min: 9.0, avg: 20.64516129032258, max: 46.0)

Episode: 32 (939), exploration: 0.9809820158102861, score: 16.0
Scores: (min: 9.0, avg: 20.5, max: 46.0)

Episode: 33 (940), exploration: 0.9796878962075424, score: 44.0
Scores: (min: 9.0, avg: 21.21212121212121, max: 46.0)

Episode: 34 (941), exploration: 0.9791002245279469, score: 20.0
Scores: (min: 9.0, avg: 21.176470588235293, max: 46.0)

Episode: 35 (942), exploration: 0.9786303410076654, score: 17.0
Scores: (min: 9.0, avg: 21.057142857142857, max: 46.0)

Episode: 36 (943), exploration: 0.9780433037089202, score: 20.0
Scores: (min: 9.0, avg: 21.02777777777778, max: 46.0)

Episode: 37 (944), exploration: 0.9772220430349549, score: 29.0
Scores: (min: 9.0, avg: 21.243243243243242, max: 46.0)

Episode: 38 (945), exploration: 0.9767530608795282, score: 14.0
Scores: (min: 9.0, avg: 21.05263157894737, max: 46.0)

Episode: 39 (946), exploration: 0.9761671496785639, score: 21.0
Scores: (min: 9.0, avg: 21.05128205128205, max: 46.0)

Episode: 40 (947), exploration: 0.9754645201491662, score: 24.0
Scores: (min: 9.0, avg: 21.125, max: 46.0)

Episode: 41 (948), exploration: 0.974762396361286, score: 24.0
Scores: (min: 9.0, avg: 21.195121951219512, max: 46.0)

Episode: 42 (949), exploration: 0.9741776792724115, score: 20.0
Scores: (min: 9.0, avg: 21.166666666666668, max: 46.0)

Episode: 43 (950), exploration: 0.9737101581485789, score: 15.0
Scores: (min: 9.0, avg: 21.023255813953487, max: 46.0)

Episode: 44 (951), exploration: 0.9730092971224577, score: 26.0
Scores: (min: 9.0, avg: 21.136363636363637, max: 46.0)

Episode: 45 (952), exploration: 0.9725423367211168, score: 13.0
Scores: (min: 9.0, avg: 20.955555555555556, max: 46.0)

Episode: 46 (953), exploration: 0.9719589513483761, score: 21.0
Scores: (min: 9.0, avg: 20.956521739130434, max: 46.0)

Episode: 47 (954), exploration: 0.9714924950222642, score: 17.0
Scores: (min: 9.0, avg: 20.872340425531913, max: 46.0)

Episode: 48 (955), exploration: 0.9707932302346554, score: 22.0
Scores: (min: 9.0, avg: 20.895833333333332, max: 46.0)

Episode: 49 (956), exploration: 0.9703273333539679, score: 18.0
Scores: (min: 9.0, avg: 20.836734693877553, max: 46.0)

Episode: 50 (957), exploration: 0.9697452766643253, score: 19.0
